UniqueID,Keyword
8062S9ZHDJ_NKPBP0URMBAOIW4,bombing|warsaw|poland|germans|władysław|wielun|berlin|baltic|nazi|polish|1939|attacked|germany|ukraine|nato
8AMWV857IC_L3KJZ1CD1SPHMN8,tehran|iran|missile|missiles|iranian|iranians|targets|syria|hezbollah|ballistic|israel|isfahan|hussein|lebanon|israeli
8NDFQEGYHO_I63T48ROJEEENZG,morial|orleans|mayor|mayors|activist|luther|mayoral|negroes|racist|haydel|crow|atlanta|martin|died|whites
8NVHLET61V_GLAQCZQD31S7LUZ,falcon|maltese|novels|novelist|novel|hammett|spade|copyright|gatsby|book|writer|detective|publisher|detectives|fictional
8RDUCAZ0H9_FF9XO0JRR3O35KF,gaza|palestinian|hamas|palestinians|israeli|aviv|blockade|israelis|israel|netanyahu|hostages|militants|tunnels|relinquish|corridor
8UH9YD3F2Y_RYWUMKDRKHN7VLV,drought|droughts|irrigation|cyprus|agriculture|climate|mediterranean|crops|ayia|farmers|solar|greece|malta|farming|europe
9D9Y6BGEXO_W7YY1J4TNYJLDIM,jenin|gaza|palestinians|israeli|aviv|palestinian|hamas|israelis|militants|soldiers|israel|wounded|soldier|troops|militant
9OABAEZHD1_O2WSJWOHKZZ9OEF,cia|fbi|jfkfiles|jfk|disclosures|kennedy|redactions|archives|disclosure|agencies|redacted|disclose|assassination|oswald|records
9VK50OGRNL_VACH45YTTWTMZA2,beijing|bus|buses|shandong|schools|children|chinese|students|parents|incident|school|safety|crash|china|crashed
A1DL06CME3_OWHQW46AYEKFUFT,bogota|colombia|peruvian|peru|indigenous|tribes|tribe|attacked|tribal|fenamad|cusco|loggers|logging|deforestation|forest
A1N5M62N08_83BAA8RDB32H0BA,zalazar|paraguayans|paraguayan|pregnancies|abortion|paraguay|pregnancy|pregnant|diana|contraception|mothers|adriana|womanhood|asuncion|asunción
A3SETE8NAN_XTUFZKG6NHIUT5K,custody|fairfax|sibling|arrest|jailed|parenting|arrests|juvenile|children|arrested|assault|911|virginia|cellphone|misdemeanor
AAG36TY7X6_7NWF116X9MNY0HG,korea|seoul|korean|jong|yoon|missiles|kim|nuclear|missile|putin|russia|suk|cooperation|zealand|summit
ASYPRE9GNX_1U5Y4GB3MWHQ9PF,iranian|iran|tehran|lgbtqia|lgbtq|ambassador|embassy|islamic|transgender|homosexuality|australian|australia|instagram|gender|news
AZMOFK2C4L_FW1DWO3VYF6W6DS,israeli|hamas|emhoff|hostages|kamala|harris|gaza|jewish|hostage|israel|antisemitism|leader|president|goldberg|elected
B4YP0KB9MA_GNXGY46OFELYAFO,beijing|qing|manchu|chinese|costumes|fashion|paintings|china|maoism|costume|1911|robes|dress|painting|dressed
BJLAV8UEVM_YBW39ZECF0W7RRJ,airbus|cathay|aircraft|airline|airlines|engines|royce|flights|hong|cx383|a350s|zurich|flight|engine|pacific
BL96Z33VNO_UCOHP0Y5AFYUVDM,husseini|mosque|houston|murder|palestinian|masjid|islamic|arrest|suspect|harris|prosecutors|funeral|shooting|murady|judge
BVETX7IR5Q_GYJU9RU2LD7EXC8,prosecutors|indictment|arrested|taiwanese|alleged|governor|sun|allegations|linda|cuomo|governors|charges|misconduct|gov|defendant
C2L78RR850_EXMWU1012VOI6G2,ai|safeguards|security|computing|oversight|intelligence|cyberattacks|thresholds|threshold|safety|capabilities|artificial|regulated|governments|technology
C4QMFTH1CS_0BWRO9DW7LEKYJY,tirana|albania|albanian|athens|greece|greek|greeks|imprisonment|omonoia|ethnic|imprisoned|arrested|convicted|prison|conviction
C96D8QI68P_N3YEOCW48YSAF5P,naval|warships|cambodia|ships|frigate|cambodian|navy|fleet|beijing|pier|thailand|china|bangkok|chinese|docked
CBZ1YK43Y8_ELJPD6BY6HCJQVQ,kampala|uganda|ugandan|ugandans|kyagulanyi|wine|bobi|wounded|museveni|shooting|shot|incident|africa|bullet|african
CGTWBJQHV0_IHVDV33MDO97929,spamouflage|disinformation|twitter|undermine|misinformation|chinese|harlan|deceptive|trump|media|donald|viral|researchers|traced|networks
CPGNQIJUXN_6NBJZOSAIZ8ELGC,salameh|lebanon|beirut|banker|prosecutor|corruption|governor|prosecution|bank|riad|embezzlement|wealth|financial|laundering|finances
D7CR1E9Q2Q_5DY2SDS9LEUKYTE,mongolia|russia|mongol|putin|mongolian|moscow|ukraine|soviet|countries|ulaanbaatar|hague|russian|manchuria|russians|genghis
D9R3V45JH2_LXVSB0IZ928ZPP1,kremlin|putin|moscow|fbi|russian|indictments|indictment|trump|sanctions|russia|vladimir|prosecutors|presidential|undermine|candidates
DFFNMCAL7C_UD4NCLYH4AXJAO3,adoptions|adoption|adopt|chinese|beijing|adopted|china|stepchild|foreign|visas|embassy|mao|international|consulate|foreigners
DVJSUFJF5L_LZ2LBSYBDVBEKVI,shooting|gunshot|shot|firearm|gun|lehi|utah|handgun|firearms|died|accidentally|happened|violence|victim|lake
E0417FSVU3_3IL3YS0Y3KG3MES,indonesia|indonesian|jakarta|sulawesi|papua|timor|archipelago|pope|vatican|philippines|islands|papal|francis|joko|religions
E5LB8Z3BHS_TK5V1OHZPJP5N4B,bolivia|bolivian|boliviano|bolivians|chilean|paz|referenda|morales|populist|presidential|political|arce|president|electoral|la
EDG8AWKM8R_ZAZY3LN8B97M8UN,corruption|haiti|haitian|rico|juan|puerto|embezzlement|caribbean|prosecutes|prosecutor|cash|investigations|agency|accused|crimes
EHSQT2WTRQ_7TJONNBXERCVYEP,nicaraguans|nicaraguan|nicaragua|guatemalan|guatemala|ortega|prisoners|detained|prison|torture|prisoner|arrest|detention|imprisoning|mexico
EJ4U10T8BO_W85S6NXF4LBCOOF,husseini|iraqi|kurdish|saadoun|hussein|sunni|baghdad|shaimaa|iraqis|marriages|marrying|marriage|arab|age|marry
EJFK8R4AT0_ZUPEXHY63HT4H2Q,bangladeshi|sheikh|bangladeshis|uae|bangladesh|muhammad|abu|deportation|emirati|sheikhdoms|emirates|dhabi|detained|dubai|arab
F7P857RTGF_YYYZQVZHQLT6EIW,malaysia|sarawak|kuala|malaysian|brunei|borneo|lumpur|taiwan|china|philippines|diplomatic|beijing|philippine|sea|investigation
FDN1VX9SC7_1FTKZO9ZHL1PPDI,tankers|tanker|exxon|hamas|salvage|disaster|salvagers|emirates|ships|gulf|burning|sank|gaza|sea|explosives
FQF51GO3T7_BIGOPI5I34B6UGA,poltava|ukraine|missiles|zelenskyy|ukrainian|rubble|russian|zemskyy|novikov|explosions|kursk|wounding|putin|wounded|terror
FTCUAOPFC6_97BREEAU35V0SVB,jackson|james|harlem|brown|robinson|justices|stevie|judge|sang|king|justice|supreme|sung|court|york
GCDIQ2D306_RPLNZA2BGX46WA7,nato|sweden|scandinavian|denmark|stockholm|swedish|erdogan|finland|copenhagen|turkish|kurdish|turkey|ukraine|coalition|hungary
GJ7KFTSGUR_5VO48CO21ZKZD6B,yaste|uss|rifle|navy|squadron|deployed|weapon|missile|destroyer|military|duty|firing|marine|officer|commanding
